#subnet 198.168.20.0/24:

Hostname: host1, IP Address: 198.168.20.1, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host2, IP Address: 198.168.20.2, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host3, IP Address: 198.168.20.3, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host4, IP Address: 198.168.20.4, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host5, IP Address: 198.168.20.5, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host6, IP Address: 198.168.20.6, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host7, IP Address: 198.168.20.7, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host8, IP Address: 198.168.20.8, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host9, IP Address: 198.168.20.9, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host10, IP Address: 198.168.20.10, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host11, IP Address: 198.168.20.11, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host12, IP Address: 198.168.20.12, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host13, IP Address: 198.168.20.13, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host14, IP Address: 198.168.20.14, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host15, IP Address: 198.168.20.15, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host16, IP Address: 198.168.20.16, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host17, IP Address: 198.168.20.17, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host18, IP Address: 198.168.20.18, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host19, IP Address: 198.168.20.19, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
Hostname: host20, IP Address: 198.168.20.20, Subnet Mask: 255.255.255.0, Broadcast Address: 198.168.20.255
